Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5
COLLEEN FAHEY,700.0,22.0,150.0,183.0,217.0
LITSA OLSSON,789.0,18.0,135.0,183.0,130.0
MONA SHAY,688.0,4.0,120.0,177.0,130.0
JARKA GIANGIULIO,840.0,12.0,127.0,169.0,130.0
LORI LANE,808.0,17.0,160.0,124.0,130.0
ANNETTE DAVIS,791.0,8.0,135.0,143.0,130.0
DEBBIE STROBEL,863.0,11.0,140.0,150.0,88.0
PAMELA PETERSON,873.0,8.0,130.0,165.0,130.0
TIFFANY TOMPKINS,996.0,15.0,145.0,147.0,89.0
LAURA JONES,892.0,10.0,135.0,144.0,130.0
CATHERINE RAYMER,865.0,8.0,130.0,130.0,99.0
CHRISTINE LONG,878.0,1.0,110.0,157.0,130.0
CAROLYN  HELMLY,871.0,4.0,118.0,123.0,130.0
PATTI KUHLMAN,890.0,1.0,110.0,129.0,81.0
ELLEN WEIGL,916.0,3.0,116.0,87.0,80.0
LORAIN WAUTERS,423.0,24.0,95.0,131.0,80.0
PATRICIA WORCESTER,926.0,3.0,95.0,98.0,80.0
TINA PAGANO,603.0,24.0,100.0,120.0,268.0
SIMONETTA FROLLINI,900.0,11.0,79.36,114.0,150.0
SUSAN WALLIS,607.0,16.0,75.0,91.0,230.0
SHARON  LAPIDES ,880.0,3.0,120.0,0,0
DONNA  BRUCE,0,0,0,0,0
JAMIE GRAHAM,0,0,0,0,0
JODY PRINCE,0,0,0,0,0
KAREN SMITH,0,0,0,0,0
MAILE NELSON,0,0,0,0,0
RHONDA DESSERT,0,0,0,0,0
SHERYL BOYD,0,0,0,0,0
